"CVE_LOCC"
010010001
010010094
010010096
010010100
010010102
010010104
010010106
010010112
010010113
010010114
010010120
010010121
010010125
010010126
010010127
010010128
010010129
010010135
010010138
010010139
010010141
010010144
010010146
010010157
010010162
010010166
010010170
010010171
010010172
010010176
010010182
010010183
010010190
010010191
010010197
010010201
010010207
010010209
010010212
010010213
010010216
010010226
010010227
010010228
010010230
010010231
010010236
010010237
010010239
010010253
010010256
010010265
010010270
010010272
010010279
010010280
010010283
010010285
010010291
010010292
010010293
010010296
010010297
010010309
010010315
010010321
010010329
010010336
010010340
010010345
010010347
010010353
010010355
010010357
010010358
010010362
010010363
010010366
010010367
010010370
010010379
010010387
010010388
010010389
010010401
010010405
010010406
010010407
010010408
010010410
010010411
010010421
010010422
010010426
010010429
010010432
010010437
010010440
010010444
010010456
010010461
010010466
010010476
010010479
010010480
010010481
010010492
010010497
010010506
010010509
010010513
010010514
010010519
010010526
010010531
010010540
010010541
010010543
010010547
010010548
010010555
010010558
010010569
010010572
010010575
010010576
010010582
010010583
010010584
010010587
010010590
010010593
010010597
010010602
010010605
010010607
010010609
010010610
010010611
010010617
010010620
010010621
010010631
010010632
010010636
010010637
010010638
010010639
010010640
010010647
010010648
010010651
010010652
010010656
010010657
010010658
010010659
010010665
010010667
010010668
010010682
010010694
010010698
010010701
010010703
010010707
010010716
010010720
010010726
010010732
010010735
010010737
010010742
010010747
010010753
010010755
010010759
010010764
010010768
010010769
010010770
010010772
010010782
010010784
010010789
010010790
010010792
010010793
010010795
010010815
010010816
010010862
010010863
010010864
010010865
010010866
010010867
010010870
010010874
010010876
010010879
010010880
010010882
010010885
010010886
010010887
010010888
010010889
010010890
010010891
010010892
010010893
010010894
010010895
010010900
010010901
010010903
010010904
010010905
010010906
010010907
010010908
010010909
010010910
010010912
010010914
010010915
010010917
010010918
010010919
010010920
010010921
010010922
010010925
010010935
010010936
010010938
010010939
010010942
010010943
010010944
010010951
010010952
010010957
010010962
010010964
010010967
010010968
010010969
010010970
010010971
010010979
010010980
010010981
010010982
010010985
010010987
010010988
010010992
010010996
010010997
010010999
010011000
010011002
010011003
010011005
010011007
010011008
010011010
010011011
010011012
010011013
010011019
010011020
010011021
010011022
010011024
010011025
010011026
010011027
010011029
010011035
010011037
010011038
010011039
010011041
010011043
010011047
010011048
010011049
010011050
010011051
010011052
010011053
010011054
010011055
010011056
010011058
010011059
010011062
010011064
010011065
010011066
010011067
010011070
010011073
010011075
010011077
010011080
010011083
010011085
010011086
010011092
010011094
010011097
010011098
010011099
010011100
010011101
010011102
010011103
010011104
010011105
010011107
010011109
010011112
010011113
010011114
010011115
010011116
010011118
010011119
010011120
010011123
010011127
010011128
010011131
010011133
010011136
010011139
010011140
010011142
010011145
010011147
010011148
010011150
010011151
010011152
010011157
010011158
010011159
010011160
010011161
010011165
010011166
010011167
010011168
010011170
010011172
010011173
010011178
010011179
010011180
010011181
010011182
010011183
010011186
010011187
010011189
010011190
010011198
010011199
010012001
010012003
010012004
010012008
010012010
010012014
010012015
010012016
010012017
010012018
010012019
010012020
010012021
010012022
010012023
010012024
010012025
010012026
010012028
010012030
010012031
010012032
010012033
010012035
010012036
010012037
010012038
010012039
010012040
010012041
010012043
010012044
010012045
010012046
010012048
010012049
010012050
010012051
010012053
010012054
010012056
010012058
010012059
010012061
010012063
010012064
010012065
010012066
010012067
010012068
010012069
010012071
010012072
010012073
010012074
010012075
010012076
010012077
010012078
010012080
010012081
010012083
010012084
010012085
010012086
010012087
010012088
010012089
010012090
010012091
010012092
010012093
010012094
010012095
010012096
010012097
010012098
010012099
010012100
010012101
010012103
010012104
010012105
010012106
010012107
010012108
010012109
010012111
010012112
010012114
010012115
010012117
010012118
010012119
010012120
010012122
010012123
010012128
010012129
010012130
010012131
010012132
010012133
010012134
010012135
010012136
010012138
010012139
010012140
010012141
010012143
010012144
010012145
